PLAYER_NAME,TEAM,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
Bradley Beal,WAS,Handoff,Offensive,0.832,50,0.088,1.153,0.58,0.112,0.071,0.122,0.02,0.551,0.623,2.0,2.3,0.9,1.6,0.7
Terry Rozier,CHA,Handoff,Offensive,0.829,64,0.066,1.151,0.547,0.054,0.14,0.032,0.0,0.495,0.647,1.5,1.7,0.6,1.2,0.5
Damian Lillard,POR,Handoff,Offensive,0.825,58,0.074,1.149,0.418,0.157,0.099,0.116,0.008,0.463,0.538,2.1,2.4,0.7,1.6,0.9
Norman Powell,LAC,Handoff,Offensive,0.811,60,0.078,1.137,0.481,0.178,0.082,0.178,0.0,0.534,0.565,1.2,1.4,0.4,0.9,0.5
Collin Sexton,UTA,Handoff,Offensive,0.807,48,0.071,1.133,0.615,0.2,0.222,0.2,0.022,0.533,0.692,0.9,1.1,0.3,0.5,0.2
Kelly Oubre Jr.,CHA,Handoff,Offensive,0.804,48,0.08,1.13,0.492,0.156,0.091,0.13,0.039,0.494,0.574,1.6,1.8,0.6,1.3,0.6
Harrison Barnes,SAC,Handoff,Offensive,0.796,82,0.089,1.126,0.452,0.179,0.074,0.179,0.032,0.484,0.548,1.2,1.3,0.4,0.9,0.5
Duncan Robinson,MIA,Handoff,Offensive,0.786,42,0.214,1.119,0.44,0.034,0.136,0.034,0.017,0.39,0.62,1.4,1.6,0.5,1.2,0.7
Jalen Suggs,ORL,Handoff,Offensive,0.782,53,0.075,1.114,0.462,0.045,0.114,0.045,0.045,0.409,0.603,0.8,0.9,0.3,0.7,0.4
LaMelo Ball,CHA,Handoff,Offensive,0.779,36,0.059,1.113,0.511,0.019,0.151,0.019,0.019,0.434,0.644,1.5,1.6,0.6,1.3,0.6
Jamal Murray,DEN,Handoff,Offensive,0.775,65,0.124,1.108,0.464,0.082,0.051,0.044,0.019,0.475,0.557,2.4,2.7,1.0,2.2,1.2
Keegan Murray,SAC,Handoff,Offensive,0.771,80,0.149,1.107,0.444,0.023,0.092,0.023,0.008,0.412,0.603,1.6,1.8,0.6,1.5,0.8
Seth Curry,BKN,Handoff,Offensive,0.768,61,0.127,1.106,0.5,0.03,0.091,0.03,0.03,0.455,0.592,1.1,1.2,0.5,1.0,0.5
Tyrese Haliburton,IND,Handoff,Offensive,0.743,56,0.043,1.089,0.514,0.111,0.156,0.067,0.044,0.467,0.6,0.8,0.9,0.3,0.6,0.3
Jalen Green,HOU,Handoff,Offensive,0.736,76,0.1,1.086,0.473,0.069,0.092,0.069,0.023,0.454,0.57,2.3,2.5,0.9,2.0,1.0
Corey Kispert,WAS,Handoff,Offensive,0.732,74,0.07,1.085,0.425,0.085,0.106,0.085,0.043,0.404,0.563,0.6,0.7,0.2,0.5,0.3
De'Aaron Fox,SAC,Handoff,Offensive,0.718,73,0.069,1.076,0.476,0.068,0.042,0.059,0.0,0.492,0.543,1.6,1.7,0.7,1.4,0.8
Immanuel Quickley,NYK,Handoff,Offensive,0.714,81,0.081,1.076,0.434,0.065,0.109,0.054,0.0,0.424,0.579,1.1,1.2,0.4,0.9,0.5
RJ Barrett,NYK,Handoff,Offensive,0.711,73,0.07,1.075,0.494,0.16,0.094,0.151,0.038,0.509,0.548,1.5,1.6,0.6,1.1,0.6
Jevon Carter,MIL,Handoff,Offensive,0.707,81,0.064,1.071,0.5,0.071,0.095,0.071,0.024,0.452,0.597,0.5,0.6,0.2,0.4,0.2
Jordan Poole,GSW,Handoff,Offensive,0.7,82,0.104,1.068,0.45,0.107,0.119,0.085,0.017,0.446,0.554,2.2,2.3,0.8,1.7,0.9
Darius Garland,CLE,Handoff,Offensive,0.704,69,0.06,1.068,0.471,0.114,0.114,0.102,0.023,0.466,0.543,1.3,1.4,0.5,1.0,0.5
Dejounte Murray,ATL,Handoff,Offensive,0.688,74,0.033,1.059,0.468,0.02,0.059,0.02,0.0,0.451,0.553,0.7,0.7,0.3,0.6,0.3
Tre Jones,SAS,Handoff,Offensive,0.67,68,0.065,1.05,0.479,0.117,0.083,0.1,0.0,0.5,0.521,0.9,0.9,0.3,0.7,0.4
Bojan Bogdanovic,DET,Handoff,Offensive,0.661,59,0.044,1.04,0.531,0.18,0.2,0.16,0.02,0.5,0.594,0.8,0.9,0.3,0.5,0.3
Desmond Bane,MEM,Handoff,Offensive,0.657,58,0.116,1.038,0.473,0.083,0.106,0.076,0.023,0.455,0.545,2.3,2.4,0.9,1.9,1.0
Buddy Hield,IND,Handoff,Offensive,0.646,80,0.095,1.035,0.468,0.043,0.148,0.043,0.009,0.417,0.58,1.4,1.5,0.6,1.2,0.6
Donovan Mitchell,CLE,Handoff,Offensive,0.65,68,0.066,1.035,0.412,0.088,0.07,0.07,0.018,0.421,0.5,1.7,1.7,0.6,1.4,0.8
